threshold,cons_bars,trail_pct,base_wr,trail_wr,comb_wr,n_signals,n_long,n_short,wr_long,wr_short
75,3,0.5,76.3,41.0,77.5,173,45,128,60.0,82.0
75,3,1.0,76.3,41.6,76.9,173,45,128,60.0,82.0
75,2,0.5,75.3,41.6,76.7,219,67,152,64.2,80.3
75,3,1.5,76.3,42.2,76.3,173,45,128,60.0,82.0
75,3,2.0,76.3,43.4,76.3,173,45,128,60.0,82.0
75,3,2.5,76.3,46.8,76.3,173,45,128,60.0,82.0
75,3,3.0,76.3,46.2,76.3,173,45,128,60.0,82.0
75,3,4.0,76.3,49.7,76.3,173,45,128,60.0,82.0
75,1,0.5,72.7,41.3,75.9,286,100,186,66.0,76.3
75,2,1.0,75.3,39.3,75.8,219,67,152,64.2,80.3
75,2,1.5,75.3,41.6,75.3,219,67,152,64.2,80.3
75,2,2.0,75.3,41.6,75.3,219,67,152,64.2,80.3
75,2,2.5,75.3,44.3,75.3,219,67,152,64.2,80.3
75,2,3.0,75.3,44.3,75.3,219,67,152,64.2,80.3
75,2,4.0,75.3,49.3,75.3,219,67,152,64.2,80.3
70,2,0.5,72.6,41.6,74.8,310,117,193,64.1,77.7
70,1,0.5,71.7,41.8,74.3,385,155,230,66.5,75.2
65,1,0.5,71.2,39.8,73.5,483,183,300,65.6,74.7
65,2,0.5,71.2,40.1,73.2,392,138,254,63.0,75.6
75,1,1.0,72.7,37.8,73.1,286,100,186,66.0,76.3
75,1,2.5,72.7,43.4,73.1,286,100,186,66.0,76.3
75,1,3.0,72.7,43.4,73.1,286,100,186,66.0,76.3
75,1,4.0,72.7,47.9,73.1,286,100,186,66.0,76.3
70,2,1.0,72.6,36.5,72.9,310,117,193,64.1,77.7
60,2,0.5,70.3,40.8,72.7,542,207,335,64.3,74.0
60,3,0.5,70.1,40.5,72.7,479,173,306,62.4,74.5
75,1,1.5,72.7,40.6,72.7,286,100,186,66.0,76.3
75,1,2.0,72.7,38.8,72.7,286,100,186,66.0,76.3
70,2,1.5,72.6,41.0,72.6,310,117,193,64.1,77.7
70,2,2.0,72.6,40.0,72.6,310,117,193,64.1,77.7
70,2,2.5,72.6,42.6,72.6,310,117,193,64.1,77.7
70,2,3.0,72.6,43.9,72.6,310,117,193,64.1,77.7
70,2,4.0,72.6,47.7,72.6,310,117,193,64.1,77.7
55,1,0.5,69.8,41.0,72.5,792,343,449,66.2,72.6
55,2,0.5,69.6,41.6,72.5,687,292,395,65.1,72.9
60,1,0.5,70.3,40.7,72.5,639,255,384,65.1,73.7
70,3,0.5,70.0,39.3,72.4,257,93,164,57.0,77.4
55,3,0.5,69.3,41.4,72.3,618,256,362,64.1,72.9
55,1,4.0,69.8,48.9,72.0,792,343,449,66.2,72.6
60,1,4.0,70.3,48.5,72.0,639,255,384,65.1,73.7
60,2,4.0,70.3,48.7,72.0,542,207,335,64.3,74.0
65,1,4.0,71.2,46.6,72.0,483,183,300,65.6,74.7
65,2,4.0,71.2,46.7,71.9,392,138,254,63.0,75.6
70,1,1.0,71.7,37.1,71.9,385,155,230,66.5,75.2
70,1,2.5,71.7,41.8,71.9,385,155,230,66.5,75.2
70,1,3.0,71.7,42.3,71.9,385,155,230,66.5,75.2
70,1,4.0,71.7,46.2,71.9,385,155,230,66.5,75.2
65,1,2.5,71.2,43.7,71.8,483,183,300,65.6,74.7
65,1,3.0,71.2,43.7,71.8,483,183,300,65.6,74.7
60,3,4.0,70.1,49.3,71.8,479,173,306,62.4,74.5
65,2,2.5,71.2,43.4,71.7,392,138,254,63.0,75.6
65,2,3.0,71.2,43.9,71.7,392,138,254,63.0,75.6
70,1,1.5,71.7,40.5,71.7,385,155,230,66.5,75.2
70,1,2.0,71.7,38.7,71.7,385,155,230,66.5,75.2
55,2,4.0,69.6,47.9,71.6,687,292,395,65.1,72.9
60,2,2.5,70.3,45.6,71.6,542,207,335,64.3,74.0
60,2,3.0,70.3,45.8,71.6,542,207,335,64.3,74.0
55,1,3.0,69.8,46.3,71.5,792,343,449,66.2,72.6
60,1,3.0,70.3,45.9,71.5,639,255,384,65.1,73.7
60,1,2.5,70.3,45.7,71.4,639,255,384,65.1,73.7
65,1,1.0,71.2,36.9,71.4,483,183,300,65.6,74.7
65,1,1.5,71.2,40.2,71.4,483,183,300,65.6,74.7
65,1,2.0,71.2,40.6,71.4,483,183,300,65.6,74.7
60,3,2.5,70.1,45.9,71.4,479,173,306,62.4,74.5
60,3,3.0,70.1,46.1,71.4,479,173,306,62.4,74.5
65,2,1.0,71.2,37.0,71.4,392,138,254,63.0,75.6
65,2,1.5,71.2,40.6,71.4,392,138,254,63.0,75.6
65,2,2.0,71.2,41.3,71.4,392,138,254,63.0,75.6
50,1,0.5,67.7,41.2,71.3,958,425,533,64.9,70.0
55,1,2.5,69.8,46.1,71.3,792,343,449,66.2,72.6
65,3,0.5,69.1,38.8,71.3,327,106,221,54.7,76.0
55,2,2.5,69.6,45.0,71.2,687,292,395,65.1,72.9
55,2,3.0,69.6,45.3,71.2,687,292,395,65.1,72.9
55,3,4.0,69.3,47.4,71.2,618,256,362,64.1,72.9
60,2,2.0,70.3,43.2,71.2,542,207,335,64.3,74.0
60,1,2.0,70.3,42.7,71.0,639,255,384,65.1,73.7
60,3,2.0,70.1,43.6,71.0,479,173,306,62.4,74.5
50,2,0.5,67.3,41.1,70.9,844,366,478,63.9,69.9
60,2,1.5,70.3,41.9,70.8,542,207,335,64.3,74.0
60,3,1.5,70.1,41.5,70.8,479,173,306,62.4,74.5
55,1,2.0,69.8,41.9,70.7,792,343,449,66.2,72.6
60,1,1.5,70.3,41.8,70.7,639,255,384,65.1,73.7
55,3,2.5,69.3,44.0,70.7,618,256,362,64.1,72.9
55,3,3.0,69.3,44.7,70.7,618,256,362,64.1,72.9
55,1,1.5,69.8,41.3,70.5,792,343,449,66.2,72.6
55,2,2.0,69.6,41.0,70.5,687,292,395,65.1,72.9
60,2,1.0,70.3,38.0,70.5,542,207,335,64.3,74.0
60,1,1.0,70.3,38.5,70.4,639,255,384,65.1,73.7
60,3,1.0,70.1,37.8,70.4,479,173,306,62.4,74.5
70,3,1.0,70.0,35.4,70.4,257,93,164,57.0,77.4
50,1,4.0,67.7,48.0,70.3,958,425,533,64.9,70.0
55,1,1.0,69.8,39.1,70.3,792,343,449,66.2,72.6
50,3,0.5,66.4,40.5,70.2,765,324,441,62.7,69.2
55,2,1.0,69.6,38.6,70.2,687,292,395,65.1,72.9
55,2,1.5,69.6,40.5,70.2,687,292,395,65.1,72.9
65,3,4.0,69.1,45.9,70.0,327,106,221,54.7,76.0
70,3,1.5,70.0,40.5,70.0,257,93,164,57.0,77.4
70,3,2.0,70.0,40.5,70.0,257,93,164,57.0,77.4
70,3,2.5,70.0,42.4,70.0,257,93,164,57.0,77.4
70,3,3.0,70.0,44.0,70.0,257,93,164,57.0,77.4
70,3,4.0,70.0,46.7,70.0,257,93,164,57.0,77.4
50,2,4.0,67.3,47.4,69.9,844,366,478,63.9,69.9
55,3,2.0,69.3,40.1,69.9,618,256,362,64.1,72.9
55,3,1.0,69.3,37.5,69.7,618,256,362,64.1,72.9
55,3,1.5,69.3,39.3,69.7,618,256,362,64.1,72.9
65,3,2.5,69.1,43.1,69.7,327,106,221,54.7,76.0
65,3,3.0,69.1,44.0,69.7,327,106,221,54.7,76.0
50,1,3.0,67.7,45.2,69.5,958,425,533,64.9,70.0
50,1,2.5,67.7,45.1,69.4,958,425,533,64.9,70.0
65,3,1.0,69.1,36.4,69.4,327,106,221,54.7,76.0
65,3,1.5,69.1,39.8,69.4,327,106,221,54.7,76.0
65,3,2.0,69.1,41.3,69.4,327,106,221,54.7,76.0
50,2,2.5,67.3,44.4,69.2,844,366,478,63.9,69.9
50,2,3.0,67.3,44.4,69.2,844,366,478,63.9,69.9
50,3,4.0,66.4,46.7,69.2,765,324,441,62.7,69.2
50,1,2.0,67.7,41.0,68.8,958,425,533,64.9,70.0
50,1,1.5,67.7,40.7,68.5,958,425,533,64.9,70.0
50,2,2.0,67.3,40.5,68.5,844,366,478,63.9,69.9
50,3,2.5,66.4,43.9,68.5,765,324,441,62.7,69.2
